room,building
S101,タワースコラ
S1201,タワースコラ
S1221,タワースコラ
S1704/07/13/16,タワースコラ
S201,タワースコラ
S202,タワースコラ
S203,タワースコラ
S204,タワースコラ
S301,タワースコラ
S302,タワースコラ
S303,タワースコラ
S304,タワースコラ
S305,タワースコラ
S306,タワースコラ
S401,タワースコラ
S402,タワースコラ
S403,タワースコラ
S404,タワースコラ
S405,タワースコラ
S406,タワースコラ
S407,タワースコラ
S501,タワースコラ
S502,タワースコラ
S503,タワースコラ
S504,タワースコラ
S505,タワースコラ
S601,タワースコラ
S602,タワースコラ
S603,タワースコラ
S604,タワースコラ
S701,タワースコラ
S702,タワースコラ
S705）,タワースコラ
S706建築スライド室,タワースコラ
まち製図室１～５,タワースコラ
1011,船橋校舎
1012,船橋校舎
1013,船橋校舎
1021,船橋校舎
1022,船橋校舎
1023,船橋校舎
1031,船橋校舎
1032,船橋校舎
1033,船橋校舎
1041,船橋校舎
1042,船橋校舎
1042/43,船橋校舎
1043,船橋校舎
105,船橋校舎
1102,船橋校舎
1103,船橋校舎
1111,船橋校舎
1112,船橋校舎
1113,船橋校舎
1121,船橋校舎
1122,船橋校舎
1122/3,船橋校舎
1123,船橋校舎
113,船橋校舎
1131,船橋校舎
1132,船橋校舎
1133,船橋校舎
1141,船橋校舎
1142,船橋校舎
1143,船橋校舎
1201,船橋校舎
1202,船橋校舎
1204,船橋校舎
1211,船橋校舎
1214,船橋校舎
1221,船橋校舎
1222,船橋校舎
1223,船橋校舎
1224,船橋校舎
1231,船橋校舎
1231/32/33/34,船橋校舎
1232,船橋校舎
1233,船橋校舎
1234,船橋校舎
1325,船橋校舎
1326,船橋校舎
134,船橋校舎
1421,船橋校舎
1422,船橋校舎
1423,船橋校舎
1424,船橋校舎
1425,船橋校舎
1426,船橋校舎
1427,船橋校舎
1428,船橋校舎
1429,船橋校舎
143,船橋校舎
1431,船橋校舎
1432,船橋校舎
1433,船橋校舎
1434,船橋校舎
144,船橋校舎
1441,船橋校舎
1442,船橋校舎
1443,船橋校舎
1444,船橋校舎
1451,船橋校舎
1452,船橋校舎
1453,船橋校舎
1454,船橋校舎
1455,船橋校舎
1456,船橋校舎
1456/7/8,船橋校舎
1457,船橋校舎
1457/58,船橋校舎
1458,船橋校舎
14号館製図室,船橋校舎
201,船橋校舎
202,船橋校舎
221,船橋校舎
222,船橋校舎
231,船橋校舎
241,船橋校舎
341,船橋校舎
342,船橋校舎
403,船橋校舎
433,船橋校舎
442,船橋校舎
443,船橋校舎
521/2/3/4/5/7/8/9/10,船橋校舎
5号館製図室,船橋校舎
624,船橋校舎
625,船橋校舎
633,船橋校舎
634,船橋校舎
635,船橋校舎
641,船橋校舎
642,船橋校舎
644,船橋校舎
704,船橋校舎
741,船橋校舎
742,船橋校舎
819,船橋校舎
826,船橋校舎
829,船橋校舎
941,船橋校舎
まち製図室,船橋校舎
テクノ・工作技術センター,船橋校舎
測量実習センター演習室B,船橋校舎
測量実習ｾﾝﾀｰ(演習室AB),船橋校舎
社会基盤,船橋校舎
社会基盤工学系実験室,船橋校舎
精密各実験室,船橋校舎
精密実験実験室,船橋校舎
階段教室(大),船橋校舎
階段教室(小),船橋校舎
階段教室（大）,船橋校舎
階段教室（小）,船橋校舎
131,駿河台校舎
132,駿河台校舎
133,駿河台校舎
141,駿河台校舎
142,駿河台校舎
151,駿河台校舎
1511電気実験室,駿河台校舎
152,駿河台校舎
154,駿河台校舎
171,駿河台校舎
701,駿河台校舎
701752,駿河台校舎
705,駿河台校舎
751,駿河台校舎
752,駿河台校舎
805A,駿河台校舎
805B,駿河台校舎
811,駿河台校舎
812,駿河台校舎
831,駿河台校舎
832,駿河台校舎
841,駿河台校舎
842,駿河台校舎
843,駿河台校舎
851,駿河台校舎
852,駿河台校舎
CSTﾎｰﾙ,駿河台校舎
スタジオ（S701,駿河台校舎
