department,term,day,period,room,building,course
土木工学専攻,前期,土,1,S505,タワースコラ,土木工学基礎特論 ＊
機械工学専攻,前期,土,1,S601,タワースコラ,機械工学演習 ＊【年間】
土木工学専攻,前期,土,1,S602,タワースコラ,土木工学特別講義
一般教育,前期,土,1,S603,タワースコラ,英語ⅡA {再履修}
一般教育,前期,土,1,S604,タワースコラ,英語ⅠA {再履修}
建築学専攻,前期,土,1,S701,タワースコラ,建築デザイン ＊↓連続４時限
海洋建築工学科,前期,土,1,1421,船橋校舎,海洋建築工学インセンティブ {再履修}
交通システム工学科,前期,土,1,1424,船橋校舎,卒業研究↓連続３時限【年間】
交通システム工学科,前期,土,1,1424,船橋校舎,卒業研究↓連続３時限【年間】
海洋建築工学専攻,前期,土,1,1452,船橋校舎,海洋建築技術者倫理
一般教育,前期,土,1,1456,船橋校舎,教）工業科教育法Ⅰ
建築学科,前期,土,1,0000,駿河台校舎,建築実験Ⅰ {1}↓連続２時限
建築学科,前期,土,1,0000,駿河台校舎,建築実験Ⅲ {1}↓連続２時限
まちづくり工学専攻,前期,土,1,0000,駿河台校舎,まちづくり工学特別演習Ⅰ 2年のみ↓連続２時限
一般教育,前期,土,1,154,駿河台校舎,教）教育課程論
機械工学専攻,前期,土,2,S601,タワースコラ,熱工学特論Ⅰ
一般教育,前期,土,2,S603,タワースコラ,英語ⅡA {再履修}
一般教育,前期,土,2,S604,タワースコラ,英語ⅠA {再履修}
建築学専攻,前期,土,2,S701,タワースコラ,建築デザイン ＊↓連続４時限
交通システム工学科,前期,土,2,1424,船橋校舎,卒業研究↓連続３時限【年間】
交通システム工学科,前期,土,2,1424,船橋校舎,卒業研究↓連続３時限【年間】
一般教育,前期,土,2,1431,船橋校舎,教）技術科教育法Ⅲ
一般教育,前期,土,2,1432,船橋校舎,教）教育相談
海洋建築工学専攻,前期,土,2,1452,船橋校舎,海洋建築工学インターンシップⅠ【年間】
航空宇宙工学専攻,前期,土,2,1455,船橋校舎,最適化手法Ⅰ
精密機械工学科,前期,土,2,741,船橋校舎,卒業研究【年間】
建築学科,前期,土,2,0000,駿河台校舎,建築実験Ⅰ {1}↓連続２時限
建築学科,前期,土,2,0000,駿河台校舎,建築実験Ⅲ {1}↓連続２時限
まちづくり工学専攻,前期,土,2,0000,駿河台校舎,まちづくり工学特別演習Ⅰ 2年のみ↓連続２時限
一般教育,前期,土,2,151,駿河台校舎,教）道徳教育の理論と方法
一般教育,前期,土,2,154,駿河台校舎,教）教育制度論
まちづくり工学専攻,前期,土,3,S1201,タワースコラ,市街地整備特論 △
